book_id,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,choice_11,choice_12,choice_13,choice_14,choice_15,choice_16,choice_17,choice_18,choice_19,choice_20
1,17,20,3,12,2,9,27,25,23,24,18,21,31,52,41,51,49,16,53,73
2,23,18,24,21,27,25,1,26,37,9,7,19,53,17,10,422,41,84,62,20
3,49,52,56,1,34,73,44,53,51,12,17,220,992,9,834,20,26,197,246,64
4,32,5,15,8,28,58,29,10,14,42,59,43,116,48,131,83,13,138,66,93
5,8,4,28,32,14,29,13,63,58,125,264,15,42,121,10,65,48,55,138,131
6,74,12,88,69,1,68,105,17,275,112,164,149,51,47,20,147,363,382,324,280
7,19,189,155,161,37,2,466,54,14,13,58,116,48,79,71,42,97,28,15,29
8,5,28,4,14,32,13,113,129,65,58,55,29,131,15,63,116,48,162,130,71
9,26,145,170,201,2,1,123,16,3,86,33,24,227,31,27,53,64,281,240,23
10,76,43,171,42,230,29,4,63,15,66,133,83,5,2,93,160,109,33,37,7
11,67,33,22,57,46,16,118,45,31,150,26,111,100,9,66,4,38,42,64,2
12,69,105,1,51,17,6,20,134,3,91,41,153,166,206,183,259,280,73,327,52
13,14,55,48,28,8,32,5,65,113,71,129,173,54,58,79,7,29,846,4,162
14,13,28,32,55,48,8,5,65,58,71,4,79,131,29,846,116,129,173,15,130
15,42,4,29,87,59,58,32,43,93,28,50,66,116,10,138,37,241,14,76,71
16,98,140,9,11,1,33,31,22,46,26,30,38,123,39,2,142,86,17,64,3
17,20,1,12,69,52,27,21,25,56,23,49,24,18,3,2,98,153,507,26,140
18,23,24,27,21,25,2,422,17,26,1,20,219,155,161,37,9,399,214,347,7
19,7,155,161,189,37,2,964,466,126,13,39,48,62,53,103,54,10,79,84,72
20,17,1,69,12,52,49,56,21,25,23,3,27,105,24,18,507,153,2,309,98
21,27,24,23,18,25,2,422,17,26,20,1,9,155,161,49,399,52,37,214,151
22,111,57,33,38,64,11,46,136,31,326,44,16,118,78,40,60,306,124,304,132
23,18,24,21,27,2,25,26,17,422,1,20,399,37,9,214,155,151,161,219,49
24,18,27,23,21,25,2,422,26,17,1,20,9,37,219,399,161,155,214,347,53
25,27,21,24,18,23,2,422,17,26,1,20,9,37,399,161,155,447,53,345,219
26,9,201,23,2,24,25,27,21,18,170,33,145,3,98,35,49,11,240,56,52
27,21,25,24,18,23,2,422,17,26,1,20,9,155,219,345,52,399,53,161,214
28,14,32,13,8,48,55,58,4,5,29,131,129,71,15,138,116,65,173,301,79
29,125,154,248,79,58,15,353,32,63,10,138,5,42,555,28,116,76,4,71,83
30,61,226,244,16,404,124,235,1,22,262,64,320,98,31,140,445,231,939,6,253
31,46,57,33,64,67,1,11,136,22,195,186,231,111,16,9,26,38,228,273,3
32,28,131,14,4,58,8,29,5,13,48,130,15,129,71,116,55,59,79,225,83
33,118,11,22,57,148,31,66,186,46,26,67,150,42,100,38,136,111,78,273,261
34,99,96,3,218,203,52,56,49,334,843,12,44,1104,197,965,152,812,69,904,20
35,26,1206,629,708,180,11,489,33,40,132,9,45,1663,114,315,10,2521,1506,1835,606
36,77,241,37,117,1,245,856,4,1290,90,50,388,48,59,321,15,386,486,28,70
37,219,292,347,332,602,641,542,59,19,7,117,2,93,53,15,133,158,42,36,362
38,22,46,64,33,111,57,31,136,44,11,40,16,150,118,3,75,228,60,261,78
39,110,135,165,188,1496,19,1,16,7,3775,1995,2,192,53,9,3282,2149,17,126,62
40,261,57,256,22,136,38,33,118,31,44,75,78,190,64,111,132,35,114,228,303
41,151,159,214,175,163,294,53,51,428,370,12,684,1,223,134,340,1399,909,2,3
42,76,10,43,133,15,93,66,29,171,59,63,58,4,116,83,118,33,109,230,37
43,10,76,63,42,171,29,230,15,66,4,83,160,138,58,109,5,93,270,116,559
44,107,152,420,3,169,64,156,686,78,136,622,286,132,49,108,228,52,56,683,22
45,60,11,22,46,28,14,115,33,32,4,35,8,436,7,118,16,13,5,67,57
46,31,57,22,11,33,67,38,111,64,150,186,136,16,273,1,45,216,304,148,81
47,6,11,67,143,31,1,258,57,45,4,46,195,33,216,22,68,300,414,118,74
48,13,55,14,28,65,32,71,4,54,637,5,79,7,29,126,129,8,371,15,58
49,52,56,3,834,992,73,732,17,20,34,99,96,44,2021,1,26,69,153,748,563
50,278,85,786,102,59,157,391,339,251,15,358,158,661,296,335,29,184,905,364,549
51,153,134,183,309,319,351,12,607,202,210,41,460,182,3,1754,254,69,756,355,53
52,49,56,3,834,992,73,17,34,20,732,99,96,2021,1,69,44,26,12,153,246
53,345,447,648,41,3,62,223,37,314,2,51,1,9,3636,19,4603,26,481,73,7
54,337,599,751,126,7,13,442,276,65,48,1014,70,55,89,400,19,14,113,371,72
55,13,14,48,809,28,65,32,8,173,113,71,129,5,371,276,162,54,126,95,79
56,52,49,3,834,992,73,732,34,17,20,96,99,2021,44,69,153,246,748,26,652
57,111,136,31,22,46,33,118,11,100,64,272,195,150,381,148,67,42,40,38,228
58,116,32,29,28,4,79,83,14,138,71,42,131,15,293,125,8,160,194,154,5
59,157,102,158,93,251,364,50,544,335,37,184,15,85,245,133,339,42,117,444,278
60,45,22,57,11,249,124,32,67,38,111,118,46,28,8,16,100,795,115,119,101
61,30,262,235,318,244,811,112,226,438,566,267,1508,926,445,1065,939,623,404,253,348
62,368,480,937,53,19,2,7,89,314,282,37,1,747,36,223,70,1259,54,167,50
63,43,76,29,42,138,10,171,160,5,172,66,15,8,559,32,71,131,116,93,28
64,328,111,331,22,44,31,616,38,57,3,46,186,9,132,136,381,228,199,114,78
65,297,113,48,55,14,405,13,8,173,32,129,54,5,28,58,121,94,162,181,194
66,42,311,76,43,33,15,109,10,118,63,133,4,75,116,11,136,734,44,103,29
67,11,46,33,31,57,142,64,81,118,186,22,47,150,231,9,60,273,111,148,198
68,74,6,88,564,147,275,234,382,1,348,149,20,196,164,60,2,17,36,615,22
69,12,105,17,20,91,259,153,51,319,309,134,525,376,6,1197,423,52,655,327,56
70,126,492,442,760,276,54,2655,371,400,236,84,36,55,13,48,288,7,92,62,838
71,97,79,29,58,390,14,28,32,103,154,138,95,48,125,13,83,194,15,116,55
72,237,176,209,305,243,349,168,556,675,578,84,553,670,86,222,205,1292,266,865,288
73,3,56,52,49,51,12,1,210,53,134,17,834,187,20,732,202,34,169,254,246
74,88,275,6,382,68,147,164,149,348,12,363,234,69,51,564,324,435,921,280,139
75,78,1457,228,136,741,108,310,1111,777,261,272,33,156,76,66,465,42,10,118,22
76,171,10,230,43,42,471,451,63,29,66,83,160,133,15,58,103,93,75,118,109
77,594,263,59,36,369,245,184,90,158,388,707,853,37,241,577,120,234,386,1193,321
78,228,108,75,136,156,310,465,1111,44,777,741,261,1430,33,1417,120,22,64,411,308
79,341,29,125,71,58,154,1280,531,83,194,646,14,824,32,138,160,103,116,597,248
80,59,229,13,14,93,158,5,162,28,257,8,117,48,444,180,85,95,213,116,251
81,754,179,238,31,11,67,46,33,57,111,208,22,273,64,38,40,1068,114,100,326
82,236,181,398,127,508,15,688,1048,92,101,272,316,179,40,14,32,48,118,72,136
83,160,58,109,361,79,204,29,116,103,138,590,76,131,32,42,194,43,71,125,4
84,288,660,209,1117,222,487,693,72,86,575,640,123,1003,266,866,227,205,2594,2,281
85,50,102,278,157,358,59,786,251,339,391,608,296,545,364,245,728,454,549,1921,627
86,123,227,281,343,266,596,833,222,242,288,209,963,1057,84,1037,72,1245,628,726,336
87,15,4,241,32,59,317,29,138,179,5,37,14,198,125,468,90,48,93,79,58
88,74,275,382,6,164,147,149,564,68,324,105,12,348,91,139,1575,259,475,69,363
89,54,50,7,103,62,19,76,37,272,84,66,72,10,263,398,93,43,42,109,283
90,59,77,321,32,4,36,37,15,28,621,245,29,271,117,158,577,116,386,241,93
91,259,376,69,12,946,105,166,51,327,340,17,655,153,206,41,423,280,713,88,214
92,127,211,1069,193,398,236,508,442,101,288,276,82,84,969,181,126,408,209,70,1371
93,133,59,540,42,497,37,639,15,204,116,117,158,184,76,444,245,171,10,160,43
94,233,65,121,323,5,109,113,592,272,130,172,194,424,79,14,162,177,213,597,13
95,71,390,97,177,2484,14,427,55,13,125,213,63,5,83,172,103,129,160,28,79
